"","SeedDiff","DGames","DWins","DLoss","DWLpct","DSRS","DSOS","DConfW","DConfL","DPnts","DOppPnts","DFG","DFGA","DFGpct","DThreeP","DThreePA","DThreePpct","DFT","DFTA","DFTpct","DTRB","DAST","DSTL","DBLK","DTOV","winner","SRSxSOS","FGxThreeP","FGxFT","FGxTRB","FGxAST","FGxSTL","FGxBLK","FGxTOV","FGxSD","ThreePxFTpct","ThreePxAST","ThreePxTRB","ThreePxSTL","ThreePxSD","FTAxTRB","FTAxAST","FTAxSTL","FTAxBLK","FTAxTOV","FTAxSD","TRBxAST","TRBxSTL","TRBxBLK","TRBxTOV","TRBxSD","ASTxSTL","ASTxBLK","ASTxTOV","ASTxSD","STLxBLK","STLxTOV","STLxSD","BLKxTOV","BLKxSD","GamesSq","SeedDiffSq","WinsxSOS","TOVxSD"
"15",-3,-1,10,-11,0.32,0.86,-8.52,6,-6,341,36,91,36,0.039,15,3,0.016,144,212,-0.01,93,78,-40,3,-62,0,-7.3272,1365,13104,8463,7098,-3640,273,-5642,-273,-0.15,1170,1395,-600,-45,19716,16536,-8480,636,-13144,-636,7254,-3720,279,-5766,-279,-3120,234,-4836,-234,-120,2480,120,-186,-9,1,9,-85.2,186
"16",-13,0,2,-2,0.059,21.19,16.71,-1,1,-217,-332,-77,26,-0.047,-8,44,-0.032,-55,-86,0.008,49,-23,-13,42,-108,1,354.0849,616,4235,-3773,1771,1001,-3234,8316,1001,-0.064,184,-392,104,104,-4214,1978,1118,-3612,9288,1118,-1127,-637,2058,-5292,-637,299,-966,2484,299,-546,1404,169,-4536,-546,0,169,33.42,1404
"17",-15,-2,6,-8,0.23,29.67,15.25,5,-4,-363,-635,-113,-197,-0.01,-1,-34,0.018,-136,-217,0.035,-57,-28,-53,23,-102,1,452.4675,113,15368,6441,3164,5989,-2599,11526,1695,-0.035,28,57,53,15,12369,6076,11501,-4991,22134,3255,1596,3021,-1311,5814,855,1484,-644,2856,420,-1219,5406,795,-2346,-345,4,225,91.5,1530
"18",-1,0,1,-1,0.031,-1.48,-3.57,3,-3,136,69,17,-20,0.014,49,109,0.016,53,-1,0.092,-105,53,44,17,15,0,5.2836,833,901,-1785,901,748,289,255,-17,4.508,2597,-5145,2156,-49,105,-53,-44,-17,-15,1,-5565,-4620,-1785,-1575,105,2332,901,795,-53,748,660,-44,255,-17,0,1,-3.57,-15
"19",-7,-2,0,-2,0.04,6.29,6.2,4,-2,-188,-176,-32,-85,0.003,-31,-133,0.023,-93,-79,-0.07,-49,-46,-103,-10,-98,0,38.998,992,2976,1568,1472,3296,320,3136,224,2.17,1426,1519,3193,217,3871,3634,8137,790,7742,553,2254,5047,490,4802,343,4738,460,4508,322,1030,10094,721,980,70,4,49,0,686
"20",-9,-2,-5,3,-0.099,9.93,12.21,-1,3,-379,-261,-161,-240,-0.028,-5,34,-0.025,-52,-49,-0.032,-304,-9,52,-73,-40,0,121.2453,805,8372,48944,1449,-8372,11753,6440,1449,0.16,45,1520,-260,45,14896,441,-2548,3577,1960,441,2736,-15808,22192,12160,2736,-468,657,360,81,-3796,-2080,-468,2920,657,4,81,-61.05,360
"21",-5,1,3,-2,0.068,2.42,3.59,2,0,126,157,-36,62,-0.035,116,375,-0.025,82,126,-0.018,53,153,-14,19,24,1,8.6878,-4176,-2952,-1908,-5508,504,-684,-864,180,-2.088,17748,6148,-1624,-580,6678,19278,-1764,2394,3024,-630,8109,-742,1007,1272,-265,-2142,2907,3672,-765,-266,-336,70,456,-95,1,25,10.77,-120
"22",-11,-2,-3,1,-0.046,17.38,13.46,3,-1,186,71,51,-40,0.035,53,123,0.011,31,-15,0.072,-144,27,18,-26,-58,1,233.9348,2703,1581,-7344,1377,918,-1326,-2958,-561,3.816,1431,-7632,954,-583,2160,-405,-270,390,870,165,-3888,-2592,3744,8352,1584,486,-702,-1566,-297,-468,-1044,-198,1508,286,4,121,-40.38,638
"23",-3,1,6,-5,0.157,0.13,-4.71,4,-6,-146,-315,-18,59,-0.023,-41,-93,-0.011,-69,-57,-0.036,53,-62,6,45,-43,0,-0.6123,738,1242,-954,1116,-108,-810,774,54,1.476,2542,-2173,-246,123,-3021,3534,-342,-2565,2451,171,-3286,318,2385,-2279,-159,-372,-2790,2666,186,270,-258,-18,-1935,-135,1,9,-28.26,129
"24",-13,0,5,-5,0.147,21.45,14.68,2,-2,203,-47,84,100,0.017,-72,-142,-0.026,107,125,0.021,68,88,-7,64,-63,1,314.886,-6048,8988,5712,7392,-588,5376,-5292,-1092,-1.512,-6336,-4896,504,936,8500,11000,-875,8000,-7875,-1625,5984,-476,4352,-4284,-884,-616,5632,-5544,-1144,-448,441,91,-4032,-832,0,169,73.4,819
"25",-15,1,10,-9,0.287,30.3,18.4,4,-4,381,-13,188,365,0.011,7,-12,0.014,-2,-3,0.001,323,207,20,28,38,1,557.52,1316,-376,60724,38916,3760,5264,7144,-2820,0.007,1449,2261,140,-105,-969,-621,-60,-84,-114,45,66861,6460,9044,12274,-4845,4140,5796,7866,-3105,560,760,-300,1064,-420,1,225,184,-570
"26",-1,0,2,-2,0.059,0.91,-5.58,0,0,318,82,105,138,0.021,13,18,0.009,93,79,0.053,292,186,-94,-51,-24,0,-5.0778,1365,9765,30660,19530,-9870,-5355,-2520,-105,0.689,2418,3796,-1222,-13,23068,14694,-7426,-4029,-1896,-79,54312,-27448,-14892,-7008,-292,-17484,-9486,-4464,-186,4794,2256,94,1224,51,0,1,-11.16,24
"27",-7,1,-4,5,-0.139,10.23,12.78,-4,6,128,203,19,94,-0.011,77,100,0.041,13,-18,0.038,-92,0,139,79,21,1,130.7394,1463,247,-1748,0,2641,1501,399,-133,2.926,0,-7084,10703,-539,1656,0,-2502,-1422,-378,126,0,-12788,-7268,-1932,644,0,0,0,0,10981,2919,-973,1659,-553,1,49,-51.12,-147
"28",-9,1,2,-1,0.038,13.23,13.76,-2,2,52,64,64,217,-0.02,-76,-128,-0.038,0,47,-0.054,245,-20,30,63,73,1,182.0448,-4864,0,15680,-1280,1920,4032,4672,-576,4.104,1520,-18620,-2280,684,11515,-940,1410,2961,3431,-423,-4900,7350,15435,17885,-2205,-600,-1260,-1460,180,1890,2190,-270,4599,-567,1,81,27.52,-657
"29",-5,1,4,-3,0.1,3.7,-1.99,1,-3,335,138,154,170,0.04,39,63,0.022,-12,-15,-0.002,54,48,43,75,-46,0,-7.363,6006,-1848,8316,7392,6622,11550,-7084,-770,-0.078,1872,2106,1677,-195,-810,-720,-645,-1125,690,75,2592,2322,4050,-2484,-270,2064,3600,-2208,-240,3225,-1978,-215,-3450,-375,1,25,-7.96,230
"30",-11,1,7,-6,0.185,15.13,3.5,3,-3,28,-325,17,122,-0.02,-11,35,-0.029,5,-30,0.039,308,93,-44,-4,2,1,52.955,-187,85,5236,1581,-748,-68,34,-187,-0.429,-1023,-3388,484,121,-9240,-2790,1320,120,-60,330,28644,-13552,-1232,616,-3388,-4092,-372,186,-1023,176,-88,484,-8,44,1,121,24.5,-22
"31",-3,0,9,-9,0.273,2.41,-8.81,9,-9,299,-194,134,63,0.052,133,160,0.092,-102,-137,-0.009,-5,60,-4,-30,-51,1,-21.2321,17822,-13668,-670,8040,-536,-4020,-6834,-402,-1.197,7980,-665,-532,-399,685,-8220,548,4110,6987,411,-300,20,150,255,15,-240,-1800,-3060,-180,120,204,12,1530,90,0,9,-79.29,153
"32",-13,0,0,0,0,23.03,18.54,1,-1,74,77,-2,-23,0.004,-47,-90,-0.022,125,148,0.025,179,-57,-89,77,20,1,426.9762,94,-250,-358,114,178,-154,-40,26,-1.175,2679,-8413,4183,611,26492,-8436,-13172,11396,2960,-1924,-10203,-15931,13783,3580,-2327,5073,-4389,-1140,741,-6853,-1780,1157,1540,-1001,0,169,0,-260
