"","DGames","DWins","DLoss","DWLpct","DSRS","DSOS","DConfW","DConfL","DHomeW","DHomeL","DAwayW","DAwayL","DPnts","DOppPnts","DMP","DFG","DFGA","DFGpct","DThreeP","DThreePA","DThreePpct","DFT","DFTA","DFTpct","DORB","DTRB","DAST","DSTL","DBLK","DTOV","DPF","SeedDiff","ScoreDiff"
"76",4,5,-1,0.0650000000000001,14.31,10.58,5,-3,NA,NA,NA,NA,650,530,NA,272,505,0.014,-53,-65,-0.053,159,222,0.003,NA,288,247,149,73,137,73,-11,24
"77",4,10,-6,0.22,24.94,10.98,3,-1,NA,NA,NA,NA,701,222,NA,242,495,0.00800000000000001,80,216,0.02,137,240,-0.0339999999999999,NA,452,146,64,196,35,145,-13,17
"78",1,5,-4,0.13,2.77,-2.04,2,-2,NA,NA,NA,NA,180,13,NA,75,183,-0.00499999999999995,-38,-92,-0.00800000000000001,68,137,-0.03,NA,299,99,-34,29,55,9,-5,21
"79",-2,1,-3,0.0860000000000001,9.13,4.34,3,1,NA,NA,NA,NA,-125,-64,NA,-1,-137,0.037,-10,-101,0.064,-113,-116,-0.0509999999999999,NA,-31,35,-17,-33,3,-91,-11,-7
"80",1,-4,5,-0.148,-3.35,2.27,2,4,NA,NA,NA,NA,10,183,NA,57,166,-0.00800000000000001,-82,-129,-0.053,-22,-29,-0.003,NA,174,46,-6,51,128,149,-1,-3
"81",2,1,1,-0.017,7.42,6.55,0,2,NA,NA,NA,NA,64,17,NA,39,73,0.004,52,161,-0.017,-66,-69,-0.027,NA,76,95,0,67,53,-40,-7,8
"82",-2,1,-3,0.077,-2.88,-0.700000000000001,-3,-1,NA,NA,NA,NA,-112,-30,NA,-114,-117,-0.034,73,167,0.028,43,30,0.0289999999999999,NA,-9,-119,-43,-40,-28,7,-1,5
"83",4,7,-3,0.124,25.88,22.11,1,-1,NA,NA,NA,NA,263,200,NA,119,96,0.036,61,83,0.047,-36,44,-0.091,NA,187,167,-140,47,-12,-195,-13,10
"84",1,-3,4,-0.12,5.89,10.83,-3,3,NA,NA,NA,NA,281,425,NA,76,207,-0.013,66,194,-0.00900000000000001,63,2,0.081,NA,49,77,-45,6,26,55,-9,-10
"85",7,5,2,-0.003,16.04,13.96,-2,0,NA,NA,NA,NA,597,399,NA,244,288,0.058,36,52,0.028,73,128,-0.0189999999999999,NA,157,191,130,35,117,237,-9,24
"86",-2,-4,2,-0.088,-1.12,6.95,0,4,NA,NA,NA,NA,-402,-173,NA,-226,-330,-0.038,-25,-69,0.001,75,81,0.027,NA,-18,9,-127,-16,26,-38,-5,-17
"87",2,3,-1,0.048,8.59,7.08,4,-1,NA,NA,NA,NA,493,432,NA,178,380,-0.002,-5,21,-0.029,142,259,-0.0599999999999999,NA,291,33,-1,58,112,52,-11,1
"88",-2,-3,1,-0.0519999999999999,7.08,3.86,-1,1,NA,NA,NA,NA,-15,-84,NA,30,-52,0.029,-97,-175,-0.058,22,45,-0.012,NA,-79,50,56,38,29,-9,-3,4
"89",1,5,-4,0.137,0.430000000000001,-3.02,5,-5,NA,NA,NA,NA,129,31,NA,-37,50,-0.032,54,191,-0.024,149,143,0.0669999999999999,NA,154,72,59,58,25,23,-5,6
"90",3,20,-17,0.572,34.25,15.39,12,-10,NA,NA,NA,NA,871,266,NA,345,387,0.085,-9,-34,0.00700000000000001,190,213,0.0599999999999999,NA,309,254,73,79,14,73,-15,36
"91",4,8,-4,0.157,11.56,1.32,2,-2,NA,NA,NA,NA,464,108,NA,103,179,0.01,73,116,0.063,185,142,0.116,NA,300,30,-72,10,-39,-59,-9,12
"92",0,4,-4,0.122,12.02,6.78,2,2,NA,NA,NA,NA,40,-141,NA,72,4,0.037,41,51,0.034,-145,-206,0.005,NA,-3,82,-38,26,-20,-28,-11,-8
"93",4,1,3,-0.0650000000000001,17.24,15.12,-5,3,NA,NA,NA,NA,-76,-68,NA,-78,-16,-0.034,68,146,0.031,12,-7,0.022,NA,220,-99,-174,50,-6,-19,-9,24
"94",2,11,-9,0.313,33.19,20.28,2,-2,NA,NA,NA,NA,239,-146,NA,82,17,0.044,26,39,0.021,49,-7,0.087,NA,153,88,-75,114,-29,-129,-15,32
"95",0,10,-10,0.323,-1.83,-11.19,6,-6,NA,NA,NA,NA,305,-9,NA,88,66,0.031,58,60,0.088,71,86,0.021,NA,49,98,32,-2,-36,-98,-1,6
"96",1,5,-4,0.132,23.27,17.62,0,0,NA,NA,NA,NA,190,26,NA,58,71,0.012,21,56,0,53,88,-0.00700000000000001,NA,75,67,-11,55,61,-62,-11,39
"97",1,2,-1,0.043,-5.14,-2.78,3,-3,NA,NA,NA,NA,-45,17,NA,4,6,0.001,3,-38,0.039,-56,-18,-0.0590000000000001,NA,0,-19,36,45,-12,14,-1,-8
"98",3,8,-5,0.181,24.05,14.87,0,0,NA,NA,NA,NA,498,179,NA,194,399,0.005,-24,4,-0.051,134,176,0.022,NA,256,94,87,-16,2,215,-13,5
"99",5,17,-12,0.414,30.73,11.84,8,-2,NA,NA,NA,NA,726,70,NA,296,528,0.027,72,118,0.047,62,13,0.077,NA,416,258,88,-5,56,39,-15,9
"100",0,-7,7,-0.225,4.52,6.77,-6,4,NA,NA,NA,NA,-258,-141,NA,-113,-101,-0.034,54,116,0.021,-86,-118,-0.004,NA,-66,-36,-56,-7,46,25,-1,-15
"101",8,7,1,0.025,28.19,21.75,2,2,NA,NA,NA,NA,596,327,NA,196,356,0.013,22,43,0.015,182,268,0.016,NA,204,120,190,76,109,202,-13,37
"102",2,3,-1,0.056,6.12,-0.0399999999999991,2,-2,NA,NA,NA,NA,485,284,NA,221,396,0.022,49,130,0.00799999999999995,-6,-16,0.00700000000000001,NA,236,195,109,44,116,37,-1,7
"103",6,5,1,0.034,17.37,16.91,3,-3,NA,NA,NA,NA,511,511,NA,143,313,-0.004,85,215,0.005,140,184,0.0189999999999999,NA,280,97,30,4,143,139,-11,11
"104",0,2,-2,0.069,-3.47,-5.13,3,-3,NA,NA,NA,NA,-158,-205,NA,-85,-242,0.019,-35,-79,-0.012,47,28,0.048,NA,-137,22,-5,-46,-43,1,-1,-13
"105",1,0,1,-0.02,0.68,1.64,2,-2,NA,NA,NA,NA,3,27,NA,4,-31,0.011,-9,-79,0.039,4,9,-0.003,NA,-57,78,-24,18,-11,-3,-5,-13
"106",3,2,1,-0.005,9.66,3.29,-2,4,NA,NA,NA,NA,285,65,NA,110,138,0.025,65,198,-0.003,0,-18,0.016,NA,196,95,73,-23,91,-19,-5,2
"107",5,7,-2,0.12,-1,0.8,-2,-2,NA,NA,NA,NA,106,127,NA,30,127,-0.016,-13,-16,-0.017,59,110,-0.0209999999999999,NA,92,67,7,-22,32,-32,-7,10
"108",4,7,-3,0.12,26.65,20.32,-2,0,NA,NA,NA,NA,581,292,NA,179,398,-0.001,84,240,0.013,139,197,0.013,NA,240,220,130,65,81,173,-13,38
"109",6,21,-15,0.511,35.3,8.85,7,-9,NA,NA,NA,NA,1131,205,NA,416,705,0.042,167,292,0.135,132,120,0.0599999999999999,NA,424,361,227,84,23,132,-15,38
"110",4,0,4,-0.086,2.26,8.32,-2,-2,NA,NA,NA,NA,310,472,NA,149,140,0.046,39,86,0.016,-27,-61,0.017,NA,-148,23,12,2,44,40,-5,2
"111",1,3,-2,0.075,16.34,10.49,-4,0,NA,NA,NA,NA,194,9,NA,58,247,-0.032,88,246,-0.001,-10,-33,0.02,NA,232,2,-69,64,13,75,-9,24
"112",1,-3,4,-0.123,6.19,5.85,-2,4,NA,NA,NA,NA,386,371,NA,174,286,0.028,-9,10,-0.023,47,84,-0.0149999999999999,NA,92,126,129,21,81,86,-3,-12
"113",7,24,-17,0.579,31.38,12.75,9,-9,NA,NA,NA,NA,525,-88,NA,195,430,0,-41,-104,-0.00800000000000001,176,289,-0.0319999999999999,NA,372,113,136,129,-64,-10,-15,22
"114",-1,-5,4,-0.138,3.38,11.64,-6,2,NA,NA,NA,NA,-355,-84,NA,-29,6,-0.018,-58,-82,-0.049,-239,-259,-0.096,NA,-155,-26,92,80,10,-61,-7,-12
"115",1,0,1,-0.021,2.58,3.49,0,4,NA,NA,NA,NA,-252,-230,NA,-63,-285,0.029,-82,-276,0.012,-44,-75,0.00800000000000001,NA,-46,-12,-133,29,78,-164,-3,-4
"116",1,2,-1,0.038,8.78,8.82,-4,4,NA,NA,NA,NA,46,40,NA,-9,-66,0.012,61,75,0.067,3,-63,0.0609999999999999,NA,-3,7,-24,46,26,0,-7,7
"117",4,11,-7,0.262,3.8,-4.3,7,-3,NA,NA,NA,NA,597,330,NA,206,176,0.073,92,196,0.046,93,79,0.0509999999999999,NA,98,142,31,16,7,73,-3,21
"118",2,0,2,-0.0439999999999999,12.05,9.95,-4,2,NA,NA,NA,NA,306,230,NA,139,154,0.037,46,67,0.037,-18,-36,0.00900000000000001,NA,104,110,-36,30,-66,-130,-5,24
"119",-5,1,-6,0.144,5.41,-1.76,3,-1,NA,NA,NA,NA,-465,-648,NA,-219,-588,0.026,7,-104,0.085,-34,-121,0.0639999999999999,NA,-237,-28,-94,-4,-125,-187,-7,-6
"120",2,9,-7,0.246,22.09,12.79,5,-1,NA,NA,NA,NA,-93,-339,NA,-54,-133,0.00499999999999995,-47,-62,-0.05,62,120,-0.0269999999999999,NA,22,57,41,29,17,-7,-15,2
"121",8,8,0,0.0630000000000001,11.51,13.8,1,3,NA,NA,NA,NA,472,509,NA,129,403,-0.033,-8,-13,-0.00600000000000001,222,293,0.0239999999999999,NA,335,27,78,70,122,201,-9,33
"122",3,3,0,0.039,-1.72,2.46,4,-2,NA,NA,NA,NA,-390,-270,NA,-158,-134,-0.055,-25,39,-0.063,-49,7,-0.087,NA,30,-157,43,4,3,-69,-3,18
"123",2,10,-8,0.271,10.49,5.71,4,-6,NA,NA,NA,NA,380,242,NA,96,186,0.00600000000000001,54,149,0.003,134,199,0.004,NA,143,96,-28,15,21,39,-11,1
"124",2,1,1,-0.017,11.62,11.49,4,0,NA,NA,NA,NA,685,690,NA,298,423,0.0580000000000001,-94,-299,0.03,183,281,-0.0139999999999999,NA,379,160,43,107,226,29,-9,-2
"125",4,8,-4,0.161,17.39,8.02,8,-4,NA,NA,NA,NA,636,280,NA,192,191,0.061,25,-6,0.054,227,222,0.0880000000000001,NA,334,102,19,30,60,136,-9,6
"126",3,7,-4,0.155,18.59,11.64,7,-3,NA,NA,NA,NA,205,34,NA,23,-29,0.019,68,145,0.038,91,134,-0.004,NA,194,57,-17,124,28,-23,-11,34
"127",2,10,-8,0.28,20.78,14.36,-1,-1,NA,NA,NA,NA,-114,-293,NA,-98,-250,0.01,35,25,0.042,47,55,0.015,NA,125,3,-118,29,-6,-61,-13,12
"128",4,2,2,-0.032,17.57,15.49,-3,3,NA,NA,NA,NA,865,792,NA,335,715,0.00700000000000001,94,253,0.001,101,202,-0.0439999999999999,155,246,191,172,-15,115,137,-9,8
"129",0,-2,2,-0.0640000000000001,8.23,11.69,-1,3,NA,NA,NA,NA,-51,95,NA,-58,-58,-0.018,3,31,-0.018,62,58,0.0299999999999999,-13,10,-73,-7,1,1,-106,-7,7
"130",1,2,-1,0.0429999999999999,-0.110000000000001,-0.67,-1,-3,NA,NA,NA,NA,134,158,NA,-4,-96,0.019,65,140,0.044,77,-30,0.14,-117,-167,63,-89,-77,-92,-105,-3,12
"131",1,3,-2,0.0680000000000001,13.02,5.6,0,-2,NA,NA,NA,NA,444,222,NA,199,236,0.048,15,91,-0.032,31,21,0.018,128,171,93,54,-23,43,59,-11,17
"132",3,2,1,-0.003,8.41,10.09,-4,2,NA,NA,NA,NA,48,78,NA,-31,45,-0.03,-9,54,-0.057,119,188,-0.0139999999999999,54,42,17,16,-1,1,111,-9,12
"133",3,4,-1,0.0599999999999999,26.96,17.44,0,-2,NA,NA,NA,NA,270,11,NA,56,62,0.015,86,179,0.03,72,145,-0.045,4,-55,12,63,62,48,18,-13,3
"134",-2,0,-2,0.0409999999999999,10.4,12.15,-1,3,NA,NA,NA,NA,-304,-105,NA,-139,-201,-0.025,44,66,0.031,-70,-61,-0.0359999999999999,-41,-75,-60,-88,39,18,17,-11,-3
"135",4,5,-1,0.081,2.26,-2.3,-1,1,NA,NA,NA,NA,219,60,NA,93,206,0.001,58,112,0.031,-25,-80,0.045,-25,31,99,-10,-20,-88,46,-5,13
"136",1,0,1,-0.0209999999999999,4.21,3.16,-2,4,NA,NA,NA,NA,57,19,NA,-51,-195,0.018,32,73,0.012,127,77,0.085,-42,-66,-10,-46,-46,66,-51,-1,-18
"137",1,4,-3,0.107,2.75,-2.48,5,-3,NA,NA,NA,NA,215,23,NA,61,-52,0.048,-21,-102,0.035,114,140,0.0269999999999999,37,83,82,73,-3,111,-58,-1,13
"138",1,-2,3,-0.0900000000000001,2.62,4.02,-4,2,NA,NA,NA,NA,-133,-98,NA,-47,-104,0,-44,-170,0.045,5,19,-0.011,-41,-67,-45,-37,52,-25,-146,-5,12
"139",6,20,-14,0.477,38.09,15.4,6,-4,NA,NA,NA,NA,919,132,NA,307,422,0.056,59,76,0.07,246,270,0.08,102,372,192,100,124,-2,-11,-15,14
"140",8,14,-6,0.219,28.69,12.37,2,-2,NA,NA,NA,NA,986,320,NA,368,773,0.00299999999999995,132,385,-0.026,118,121,0.05,203,359,292,218,111,56,203,-15,38
"141",2,7,-5,0.167,1.38,-1.37,-2,0,NA,NA,NA,NA,439,349,NA,95,137,0.018,79,244,-0.004,170,234,0.016,19,11,50,81,-72,121,66,-5,8
"142",-5,-2,-3,0.0429999999999999,-0.74,-5.14,-1,-3,NA,NA,NA,NA,-646,-734,NA,-219,-464,-0.00700000000000001,-18,-58,0.003,-190,-183,-0.088,-62,-136,-132,-109,42,-95,-205,-3,-22
"143",0,-8,8,-0.25,11.89,16.15,-7,7,NA,NA,NA,NA,-98,28,NA,-101,-111,-0.026,6,69,-0.05,98,138,0.005,-25,81,-1,-19,-34,117,56,-7,-9
