"","X","DGames","DWins","DLoss","DWLpct","DSRS","DSOS","DConfW","DConfL","DPnts","DOppPnts","DFG","DFGA","DFGpct","DThreeP","DThreePA","DThreePpct","DFT","DFTA","DFTpct","DTRB","DAST","DSTL","DBLK","DTOV","SeedDiff","SRSxSOS","FGxThreeP","FGxFT","FGxTRB","FGxAST","FGxSTL","FGxBLK","FGxTOV","FGxSD","ThreePxFTpct","ThreePxAST","ThreePxTRB","ThreePxSTL","ThreePxSD","FTAxTRB","FTAxAST","FTAxSTL","FTAxBLK","FTAxTOV","FTAxSD","TRBxAST","TRBxSTL","TRBxBLK","TRBxTOV","TRBxSD","ASTxSTL","ASTxBLK","ASTxTOV","ASTxSD","STLxBLK","STLxTOV","STLxSD","BLKxTOV","BLKxSD","TOVxSD","ScD","winner","GamesSq","WinsxSOS","SeedDiffSq"
"257",257,2,1,1,-0.013,5.25,4.37,1,1,262,225,177,456,-0.015,29,115,-0.024,-121,-75,-0.0830000000000001,228,37,-9,10,-53,-7,22.9425,5133,-21417,40356,6549,-1593,1770,-9381,-1239,-2.407,1073,6612,-261,-203,-17100,-2775,675,-750,3975,525,8436,-2052,2280,-12084,-1596,-333,370,-1961,-259,-90,477,63,-530,-70,63,25,1,4,4.37,49
"258",258,8,14,-6,0.22,36,20.83,-2,-2,1358,726,461,866,0.027,206,487,0.032,230,324,0.00700000000000001,450,262,131,91,60,-15,749.88,94966,106030,207450,120782,60391,41951,27660,-6915,1.442,53972,92700,26986,-3090,145800,84888,42444,29484,19440,-4860,117900,58950,40950,27000,-6750,34322,23842,15720,-3930,11921,7860,-1965,5460,-1365,-1965,43,1,64,291.62,225
"259",259,0,0,0,0,12.65,9.16,-2,2,206,192,37,-25,0.027,43,63,0.031,89,87,0.038,-95,86,25,-41,-2,-11,115.874,1591,3293,-3515,3182,925,-1517,-74,-407,1.634,3698,-4085,1075,-473,-8265,7482,2175,-3567,-174,-957,-8170,-2375,3895,190,1045,2150,-3526,-172,-946,-1025,-50,-275,82,451,-275,13,1,0,0,121
"260",260,-2,-4,2,-0.09,1.91,3.52,0,0,-236,-144,-2,-195,0.044,-137,-323,-0.035,-95,-110,-0.0289999999999999,-66,53,-63,17,-12,-1,6.7232,274,190,132,-106,126,-34,24,2,3.97299999999999,-7261,9042,8631,137,7260,-5830,6930,-1870,1320,110,-3498,4158,-1122,792,66,-3339,901,-636,-53,-1071,756,63,-204,-17,63,-2,0,4,-14.08,1
"261",261,-3,-9,6,-0.221,1.79,7.33,-6,6,-356,-165,-129,-57,-0.056,5,-16,0.015,-103,-146,-0.003,-116,-102,34,8,-5,-1,13.1207,-645,13287,14964,13158,-4386,-1032,645,129,-0.015,-510,-580,170,-5,16936,14892,-4964,-1168,730,146,11832,-3944,-928,580,116,-3468,-816,510,102,272,-170,-34,-40,-8,-34,-4,0,9,-65.97,1
"262",262,3,8,-5,0.177,34.42,19.2,2,-6,433,-90,161,190,0.04,72,127,0.046,39,3,0.0429999999999999,222,158,-39,13,-13,-15,660.864,11592,6279,35742,25438,-6279,2093,-2093,-2415,3.09599999999999,11376,15984,-2808,-1080,666,474,-117,39,-39,-45,35076,-8658,2886,-2886,-3330,-6162,2054,-2054,-2370,-507,507,585,-169,-195,585,42,1,9,153.6,225
"263",263,0,-3,3,-0.088,8.89,9.61,-3,1,18,69,35,-21,0.024,1,-16,0.013,-53,65,-0.127,165,84,-2,73,150,-9,85.4329,35,-1855,5775,2940,-70,2555,5250,-315,-0.127,84,165,-2,-9,10725,5460,-130,4745,9750,-585,13860,-330,12045,24750,-1485,-168,6132,12600,-756,-146,-300,18,10950,-657,18,-4,0,0,-28.83,81
"264",264,3,-1,4,-0.093,1.84,7.7,-7,5,268,445,27,113,-0.012,-39,-121,0.00700000000000001,253,356,0.003,267,-16,-102,-31,94,-3,14.168,-1053,6831,7209,-432,-2754,-837,2538,-81,-0.117,624,-10413,3978,117,95052,-5696,-36312,-11036,33464,-1068,-4272,-27234,-8277,25098,-801,1632,496,-1504,48,3162,-9588,306,-2914,93,306,13,1,9,-7.7,9
"265",265,-1,0,-1,0.025,19.57,15.47,-1,-1,-20,-131,-27,-111,0.014,-18,-139,0.069,52,21,0.0439999999999999,-15,-20,-28,-83,-22,-13,302.7479,486,-1404,405,540,756,2241,594,351,-0.791999999999998,360,270,504,234,-315,-420,-588,-1743,-462,-273,300,420,1245,330,195,560,1660,440,260,2324,616,364,1826,1079,364,-1,0,1,0,169
"266",266,1,4,-3,0.1,14.29,8.79,-1,1,57,-123,92,154,0.00800000000000001,-34,-82,-0.003,-93,-76,-0.0499999999999999,249,33,-50,93,43,-9,125.6091,-3128,-8556,22908,3036,-4600,8556,3956,-828,1.7,-1122,-8466,1700,306,-18924,-2508,3800,-7068,-3268,684,8217,-12450,23157,10707,-2241,-1650,3069,1419,-297,-4650,-2150,450,3999,-837,450,24,1,1,35.16,81
