"","X","DGames","DWins","DLoss","DWLpct","DSRS","DSOS","DConfW","DConfL","DPnts","DOppPnts","DFG","DFGA","DFGpct","DThreeP","DThreePA","DThreePpct","DFT","DFTA","DFTpct","DTRB","DAST","DSTL","DBLK","DTOV","SeedDiff","SRSxSOS","FGxThreeP","FGxFT","FGxTRB","FGxAST","FGxSTL","FGxBLK","FGxTOV","FGxSD","ThreePxFTpct","ThreePxAST","ThreePxTRB","ThreePxSTL","ThreePxSD","FTAxTRB","FTAxAST","FTAxSTL","FTAxBLK","FTAxTOV","FTAxSD","TRBxAST","TRBxSTL","TRBxBLK","TRBxTOV","TRBxSD","ASTxSTL","ASTxBLK","ASTxTOV","ASTxSD","STLxBLK","STLxTOV","STLxSD","BLKxTOV","BLKxSD","TOVxSD","ScD","winner","GamesSq","WinsxSOS","SeedDiffSq"
"1",1,-3,5,-8,0.244,19.09,8.04,8,-4,204,-59,126,58,0.058,-51,-156,0.00900000000000001,3,23,-0.0179999999999999,132,38,-10,74,47,-13,153.4836,-6426,378,16632,4788,-1260,9324,5922,-1638,0.917999999999995,-1938,-6732,510,663,3036,874,-230,1702,1081,-299,5016,-1320,9768,6204,-1716,-380,2812,1786,-494,-740,-470,130,3478,-962,130,-3,0,9,40.2,169
"2",2,1,-1,2,-0.0570000000000001,15.13,13.34,-2,4,132,69,110,166,0.015,46,109,0.00700000000000001,-134,-133,-0.0499999999999999,-45,46,48,5,-10,-9,201.8342,5060,-14740,-4950,5060,5280,550,-1100,-990,-2.3,2116,-2070,2208,-414,5985,-6118,-6384,-665,1330,1197,-2070,-2160,-225,450,405,2208,230,-460,-414,240,-480,-432,-50,-45,-432,30,1,1,-13.34,81
"3",3,6,5,1,0.021,5.68,0.93,3,1,482,314,106,-52,0.068,-10,-128,0.064,280,209,0.171,76,158,-19,22,207,-3,5.2824,-1060,29680,8056,16748,-2014,2332,21942,-318,-1.71,-1580,-760,190,30,15884,33022,-3971,4598,43263,-627,12008,-1444,1672,15732,-228,-3002,3476,32706,-474,-418,-3933,57,4554,-66,57,9,1,36,4.65,9
"4",4,2,5,-3,0.111,26.35,17.68,-8,2,167,-123,165,106,0.063,-53,-111,-0.028,-108,-91,-0.0659999999999999,9,178,41,-18,11,-13,465.868,-8745,-17820,1485,29370,6765,-2970,1815,-2145,3.49799999999999,-9434,-477,-2173,689,-819,-16198,-3731,1638,-1001,1183,1602,369,-162,99,-117,7298,-3204,1958,-2314,-738,451,-533,-198,234,-533,27,1,4,88.4,169
"5",5,-1,1,-2,0.053,16.65,8.62,-2,0,221,3,72,-22,0.042,41,39,0.06,36,18,0.028,-156,81,6,29,-22,-11,143.523,2952,2592,-11232,5832,432,2088,-1584,-792,1.148,3321,-6396,246,-451,-2808,1458,108,522,-396,-198,-12636,-936,-4524,3432,1716,486,2349,-1782,-891,174,-132,-66,-638,-319,-66,35,1,1,8.62,121
"6",6,5,2,3,-0.053,9.23,12.32,0,2,769,828,377,735,0.00900000000000001,21,139,-0.059,-6,72,-0.074,339,99,150,120,127,-11,113.7136,7917,-2262,127803,37323,56550,45240,47879,-4147,-1.554,2079,7119,3150,-231,24408,7128,10800,8640,9144,-792,33561,50850,40680,43053,-3729,14850,11880,12573,-1089,18000,19050,-1650,15240,-1320,-1650,12,1,25,24.64,121
"7",7,-1,-2,1,-0.044,10.95,17.87,-1,3,-680,-393,-170,-490,0.031,-111,-283,-0.003,-229,-396,0.045,-246,52,-196,12,-67,-9,195.6765,18870,38930,41820,-8840,33320,-2040,11390,1530,-4.995,-5772,27306,21756,999,97416,-20592,77616,-4752,26532,3564,-12792,48216,-2952,16482,2214,-10192,624,-3484,-468,-2352,13132,1764,-804,-108,1764,-15,0,1,-35.74,81
"8",8,0,-3,3,-0.094,3.59,6.89,0,0,-83,72,-6,12,-0.00600000000000001,-42,-89,-0.018,-29,-36,-0.00600000000000001,42,-52,-88,24,-24,-5,24.7351,252,174,-252,312,528,-144,144,30,0.252,2184,-1764,3696,210,-1512,1872,3168,-864,864,180,-2184,-3696,1008,-1008,-210,4576,-1248,1248,260,-2112,2112,440,-576,-120,440,3,1,0,-20.67,25
"9",9,5,11,-6,0.219,22.74,17.06,7,-5,354,154,89,150,0.00600000000000001,44,60,0.046,132,193,-0.00800000000000001,143,72,-105,18,-44,-15,387.9444,3916,11748,12727,6408,-9345,1602,-3916,-1335,-0.352,3168,6292,-4620,-660,27599,13896,-20265,3474,-8492,-2895,10296,-15015,2574,-6292,-2145,-7560,1296,-3168,-1080,-1890,4620,1575,-792,-270,1575,43,1,25,187.66,225
"10",10,1,-3,4,-0.12,12.09,13.22,-6,6,-195,-206,-129,-70,-0.05,-68,-119,-0.068,131,118,0.0619999999999999,285,-26,-11,78,62,-9,159.8298,8772,-16899,-36765,3354,1419,-10062,-7998,1161,-4.21599999999999,1768,-19380,748,612,33630,-3068,-1298,9204,7316,-1062,-7410,-3135,22230,17670,-2565,286,-2028,-1612,234,-858,-682,99,4836,-702,99,13,1,1,-39.66,81
"11",11,-2,-2,0,-0.022,7.3,-1,-3,-1,-67,-352,-39,-25,-0.014,47,126,0.004,-36,-134,0.088,-271,35,62,-99,-100,-1,-7.3,-1833,1404,10569,-1365,-2418,3861,3900,39,4.136,1645,-12737,2914,-47,36314,-4690,-8308,13266,13400,134,-9485,-16802,26829,27100,271,2170,-3465,-3500,-35,-6138,-6200,-62,9900,99,-62,-11,0,4,2,1
"12",12,2,3,-1,0.041,20.98,15.56,-3,-1,616,325,274,363,0.049,72,151,0.028,-4,-32,0.022,100,223,129,18,16,-13,326.4488,19728,-1096,27400,61102,35346,4932,4384,-3562,1.584,16056,7200,9288,-936,-3200,-7136,-4128,-576,-512,416,22300,12900,1800,1600,-1300,28767,4014,3568,-2899,2322,2064,-1677,288,-234,-1677,22,1,4,46.68,169
"13",13,-1,-3,2,-0.077,1.72,4.52,-2,4,-243,-146,-84,-156,-0.00800000000000001,42,77,0.04,-117,-219,0.036,-66,-22,-166,-52,-1,-5,7.7744,-3528,9828,5544,1848,13944,4368,84,420,1.512,-924,-2772,-6972,-210,14454,4818,36354,11388,219,1095,1452,10956,3432,66,330,3652,1144,22,110,8632,166,830,52,260,830,-2,0,1,-13.56,25
"14",14,4,11,-7,0.249,32.52,17.51,-1,-1,773,252,273,566,0.001,208,506,0.023,19,35,-0.00600000000000001,331,250,108,69,90,-15,569.4252,56784,5187,90363,68250,29484,18837,24570,-4095,-1.248,52000,68848,22464,-3120,11585,8750,3780,2415,3150,-525,82750,35748,22839,29790,-4965,27000,17250,22500,-3750,7452,9720,-1620,6210,-1035,-1620,44,1,16,192.61,225
"15",15,1,0,1,-0.023,15.28,14.48,1,-3,269,223,142,78,0.058,77,109,0.092,-92,-102,-0.0279999999999999,-93,140,9,-4,-1,-9,221.2544,10934,-13064,-13206,19880,1278,-568,-142,-1278,-2.15599999999999,10780,-7161,693,-693,9486,-14280,-918,408,102,918,-13020,-837,372,93,837,1260,-560,-140,-1260,-36,-9,-81,4,36,-81,6,1,1,0,81
"16",16,4,2,2,-0.0409999999999999,7.98,8.48,-3,3,312,300,43,118,-0.005,-42,-43,-0.055,268,362,0.0309999999999999,231,67,-4,56,-265,-11,67.6704,-1806,11524,9933,2881,-172,2408,-11395,-473,-1.302,-2814,-9702,168,462,83622,24254,-1448,20272,-95930,-3982,15477,-924,12936,-61215,-2541,-268,3752,-17755,-737,-224,1060,44,-14840,-616,44,4,1,16,16.96,121
"17",17,4,9,-5,0.173,25.98,19.78,3,-1,462,318,238,403,0.019,-44,-51,-0.055,30,99,-0.0479999999999999,350,106,-6,73,111,-15,513.8844,-10472,7140,83300,25228,-1428,17374,26418,-3570,2.112,-4664,-15400,264,660,34650,10494,-594,7227,10989,-1485,37100,-2100,25550,38850,-5250,-636,7738,11766,-1590,-438,-666,90,8103,-1095,90,31,1,16,178.02,225
"18",18,0,2,-2,0.0669999999999999,1.11,-2.2,6,-2,-55,-119,-73,-72,-0.023,-51,-105,-0.037,142,224,-0.0149999999999999,67,-67,52,28,48,-1,-2.442,3723,-10366,-4891,4891,-3796,-2044,-3504,73,0.764999999999995,3417,-3417,-2652,51,15008,-15008,11648,6272,10752,-224,-4489,3484,1876,3216,-67,-3484,-1876,-3216,67,1456,2496,-52,1344,-28,-52,-18,0,0,-4.4,1
"19",19,8,21,-13,0.462,31.06,10.3,10,-8,1235,507,494,678,0.087,10,-22,0.039,237,276,0.0629999999999999,488,352,137,79,154,-15,319.918,4940,117078,241072,173888,67678,39026,76076,-7410,0.629999999999999,3520,4880,1370,-150,134688,97152,37812,21804,42504,-4140,171776,66856,38552,75152,-7320,48224,27808,54208,-5280,10823,21098,-2055,12166,-1185,-2055,20,1,64,216.3,225
"20",20,1,0,1,-0.024,-1.06,7.61,2,2,179,311,77,53,0.033,0,9,-0.01,25,103,-0.07,93,12,33,-38,123,-7,-8.0666,0,1925,7161,924,2541,-2926,9471,-539,0,0,0,0,0,9579,1236,3399,-3914,12669,-721,1116,3069,-3534,11439,-651,396,-456,1476,-84,-1254,4059,-231,-4674,266,-231,12,1,1,0,49
"21",21,2,1,1,-0.01,-3.46,-3.23,-1,-3,331,326,59,285,-0.043,51,194,-0.05,162,220,0.00800000000000001,216,-37,72,17,15,-1,11.1758,3009,9558,12744,-2183,4248,1003,885,-59,0.408000000000001,-1887,11016,3672,-51,47520,-8140,15840,3740,3300,-220,-7992,15552,3672,3240,-216,-2664,-629,-555,37,1224,1080,-72,255,-17,-72,6,1,4,-3.23,1
"22",22,6,9,-3,0.145,20.61,13.63,1,1,443,136,86,138,0.011,7,-50,0.047,264,248,0.117,142,52,68,40,67,-13,280.9143,602,22704,12212,4472,5848,3440,5762,-1118,0.819,364,994,476,-91,35216,12896,16864,9920,16616,-3224,7384,9656,5680,9514,-1846,3536,2080,3484,-676,2720,4556,-884,2680,-520,-884,22,1,36,122.67,169
"23",23,0,1,-1,0.033,10.25,7.93,6,-2,-144,-173,-13,-49,0.00600000000000001,-113,-271,-0.045,-5,10,-0.014,-64,-42,72,-7,-17,-7,81.2825,1469,65,832,546,-936,91,221,91,1.582,4746,7232,-8136,791,-640,-420,720,-70,-170,-70,2688,-4608,448,1088,448,-3024,294,714,294,-504,-1224,-504,119,49,-504,18,1,0,7.93,49
"24",24,0,1,-1,0.03,-0.450000000000001,1.12,3,-3,-167,-38,-73,-64,-0.023,40,134,-0.014,-61,-140,0.034,-149,-177,25,-1,-134,-3,-0.504000000000001,-2920,4453,10877,12921,-1825,73,9782,219,1.36,-7080,-5960,1000,-120,20860,24780,-3500,140,18760,420,26373,-3725,149,19966,447,-4425,177,23718,531,-25,-3350,-75,134,3,-75,14,1,0,1.12,9
"25",25,-3,-1,-2,0.0329999999999999,2.54,1.98,3,-1,-217,-219,-67,-300,0.035,-58,-91,-0.057,-25,-16,-0.019,-155,21,-32,-2,11,-5,5.0292,3886,1675,10385,-1407,2144,134,-737,335,1.102,-1218,8990,1856,290,2480,-336,512,32,-176,80,-3255,4960,310,-1705,775,-672,-42,231,-105,64,-352,160,-22,10,160,2,1,9,-1.98,25
"26",26,3,7,-4,0.167,3.6,-6.79,6,-6,228,-105,83,35,0.039,60,52,0.095,2,-115,0.13,17,116,30,4,-60,-1,-24.444,4980,166,1411,9628,2490,332,-4980,-83,7.8,6960,1020,1800,-60,-1955,-13340,-3450,-460,6900,115,1972,510,68,-1020,-17,3480,464,-6960,-116,120,-1800,-30,-240,-4,-30,1,1,9,-47.53,1
"27",27,5,7,-2,0.1,19.47,10.68,4,-2,632,355,207,307,0.032,141,247,0.101,77,95,0.011,198,155,27,-10,22,-11,207.9396,29187,15939,40986,32085,5589,-2070,4554,-2277,1.551,21855,27918,3807,-1551,18810,14725,2565,-950,2090,-1045,30690,5346,-1980,4356,-2178,4185,-1550,3410,-1705,-270,594,-297,-220,110,-297,20,1,25,74.76,121
"28",28,1,-2,3,-0.09,11.45,12.81,-3,5,105,143,75,250,-0.021,-23,-24,-0.034,-22,-16,-0.016,147,50,-70,41,-50,-5,146.6745,-1725,-1650,11025,3750,-5250,3075,-3750,-375,0.368,-1150,-3381,1610,115,-2352,-800,1120,-656,800,80,7350,-10290,6027,-7350,-735,-3500,2050,-2500,-250,-2870,3500,350,-2050,-205,350,12,1,1,-25.62,25
"29",29,-3,-5,2,-0.0880000000000001,10.19,12.38,-6,4,-490,-280,-161,-361,0.00800000000000001,-54,-166,0.021,-114,-126,-0.029,-201,-56,-55,-30,-12,-7,126.1522,8694,18354,32361,9016,8855,4830,1932,1127,1.566,3024,10854,2970,378,25326,7056,6930,3780,1512,882,11256,11055,6030,2412,1407,3080,1680,672,392,1650,660,385,360,210,385,23,1,9,-61.9,49
"30",30,0,6,-6,0.188,2.52,-6.98,7,1,321,68,97,96,0.026,35,40,0.039,92,179,-0.034,39,-4,71,-16,67,-3,-17.5896,3395,8924,3783,-388,6887,-1552,6499,-291,-1.19,-140,1365,2485,-105,6981,-716,12709,-2864,11993,-537,-156,2769,-624,2613,-117,-284,64,-268,12,-1136,4757,-213,-1072,48,-213,3,1,0,-41.88,9
"31",31,0,4,-4,0.133,5.43,-2.87,0,-4,64,-185,54,-3,0.032,18,-21,0.048,-62,-125,0.033,-83,-10,-4,-42,-82,-3,-15.5841,972,-3348,-4482,-540,-216,-2268,-4428,-162,0.594,-180,-1494,-72,-54,10375,1250,500,5250,10250,375,830,332,3486,6806,249,40,420,820,30,168,328,12,3444,126,12,-5,0,0,-11.48,9
"32",32,5,12,-7,0.262,26.74,11.85,8,-4,765,243,297,445,0.044,104,264,0.02,67,67,0.024,318,114,22,53,-58,-13,316.869,30888,19899,94446,33858,6534,15741,-17226,-3861,2.496,11856,33072,2288,-1352,21306,7638,1474,3551,-3886,-871,36252,6996,16854,-18444,-4134,2508,6042,-6612,-1482,1166,-1276,-286,-3074,-689,-286,26,1,25,142.2,169
"33",33,4,15,-11,0.379,34.02,15.44,4,-4,911,249,392,706,0.028,140,331,0.026,-13,-3,-0.0129999999999999,296,348,88,59,-41,-15,525.2688,54880,-5096,116032,136416,34496,23128,-16072,-5880,-1.81999999999999,48720,41440,12320,-2100,-888,-1044,-264,-177,123,45,103008,26048,17464,-12136,-4440,30624,20532,-14268,-5220,5192,-3608,-1320,-2419,-885,-1320,15,1,16,231.6,225
"34",34,3,4,-1,0.0669999999999999,0.300000000000001,-3.68,-1,-5,226,94,45,257,-0.037,28,84,-0.004,108,145,0.014,180,-41,51,-54,28,-1,-1.104,1260,4860,8100,-1845,2295,-2430,1260,-45,0.392,-1148,5040,1428,-28,26100,-5945,7395,-7830,4060,-145,-7380,9180,-9720,5040,-180,-2091,2214,-1148,41,-2754,1428,-51,-1512,54,-51,-8,0,9,-14.72,1
"35",35,4,8,-4,0.153,23.46,12.54,2,-2,608,215,207,408,0.003,55,174,-0.027,139,122,0.071,313,161,63,98,57,-13,294.1884,11385,28773,64791,33327,13041,20286,11799,-2691,3.905,8855,17215,3465,-715,38186,19642,7686,11956,6954,-1586,50393,19719,30674,17841,-4069,10143,15778,9177,-2093,6174,3591,-819,5586,-1274,-819,18,1,16,100.32,169
"36",36,4,9,-5,0.191,25.07,16.32,0,2,143,-53,81,-74,0.057,-30,-172,0.051,11,-34,0.0419999999999999,-60,119,16,132,102,-13,409.1424,-2430,891,-4860,9639,1296,10692,8262,-1053,-1.26,-3570,1800,-480,390,2040,-4046,-544,-4488,-3468,442,-7140,-960,-7920,-6120,780,1904,15708,12138,-1547,2112,1632,-208,13464,-1716,-208,12,1,16,146.88,169
"37",37,7,9,-2,0.117,13.91,10.42,2,0,279,124,95,387,-0.045,-4,40,-0.036,93,145,-0.012,438,82,132,32,132,-11,144.9422,-380,8835,41610,7790,12540,3040,12540,-1045,0.048,-328,-1752,-528,44,63510,11890,19140,4640,19140,-1595,35916,57816,14016,57816,-4818,10824,2624,10824,-902,4224,17424,-1452,4224,-352,-1452,2,1,49,93.78,121
"38",38,-3,-2,-1,-0.00600000000000001,1.54,-2.32,0,0,89,59,67,-44,0.049,30,14,0.059,-75,-117,0.01,-135,57,-92,-53,-156,-1,-3.5728,2010,-5025,-9045,3819,-6164,-3551,-10452,-67,0.3,1710,-4050,-2760,-30,15795,-6669,10764,6201,18252,117,-7695,12420,7155,21060,135,-5244,-3021,-8892,-57,4876,14352,92,8268,53,92,-7,0,9,4.64,1
"39",39,-3,-4,1,-0.0580000000000001,4.4,11.82,-2,2,-240,30,-92,-225,0.00900000000000001,-26,-129,0.062,-30,-135,0.078,-169,34,-7,-43,-16,-7,52.008,2392,2760,15548,-3128,644,3956,1472,644,-2.028,-884,4394,182,182,22815,-4590,945,5805,2160,945,-5746,1183,7267,2704,1183,-238,-1462,-544,-238,301,112,49,688,301,49,12,1,9,-47.28,49
"40",40,5,4,1,0.004,18.71,10.37,-5,1,366,83,200,436,-0.003,-26,-67,-0.001,-8,92,-0.082,378,170,70,112,136,-9,194.0227,-5200,-1600,75600,34000,14000,22400,27200,-1800,2.132,-4420,-9828,-1820,234,34776,15640,6440,10304,12512,-828,64260,26460,42336,51408,-3402,11900,19040,23120,-1530,7840,9520,-630,15232,-1008,-630,29,1,25,41.48,81
"41",41,3,8,-5,0.181,21.54,12.19,0,0,464,237,114,223,0.005,80,248,-0.012,156,198,0.031,-21,185,222,49,38,-11,262.5726,9120,17784,-2394,21090,25308,5586,4332,-1254,2.48,14800,-1680,17760,-880,-4158,36630,43956,9702,7524,-2178,-3885,-4662,-1029,-798,231,41070,9065,7030,-2035,10878,8436,-2442,1862,-539,-2442,13,1,9,97.52,121
"42",42,4,11,-7,0.257,16.68,7.1,3,-5,552,268,150,269,0.011,128,293,0.065,124,148,0.046,226,44,24,27,23,-11,118.428,19200,18600,33900,6600,3600,4050,3450,-1650,5.888,5632,28928,3072,-1408,33448,6512,3552,3996,3404,-1628,9944,5424,6102,5198,-2486,1056,1188,1012,-484,648,552,-264,621,-297,-264,9,1,16,78.1,121
"43",43,3,2,1,-0.00600000000000001,9.94,9.04,-3,-3,34,-117,12,8,0.004,0,-57,0.038,10,56,-0.0449999999999999,282,162,-128,79,69,-5,89.8576,0,120,3384,1944,-1536,948,828,-60,0,0,0,0,0,15792,9072,-7168,4424,3864,-280,45684,-36096,22278,19458,-1410,-20736,12798,11178,-810,-10112,-8832,640,5451,-395,640,22,1,9,18.08,25
"44",44,3,3,0,0.019,16.94,13.7,0,-2,345,237,96,381,-0.042,44,148,-0.00900000000000001,109,126,0.035,223,80,18,116,85,-13,232.078,4224,10464,21408,7680,1728,11136,8160,-1248,1.54,3520,9812,792,-572,28098,10080,2268,14616,10710,-1638,17840,4014,25868,18955,-2899,1440,9280,6800,-1040,2088,1530,-234,9860,-1508,-234,18,1,9,41.1,169
"45",45,2,5,-3,0.117,8.68,9.42,5,-1,367,417,152,269,0.012,12,72,-0.032,51,48,0.03,67,48,16,-9,66,-11,81.7656,1824,7752,10184,7296,2432,-1368,10032,-1672,0.36,576,804,192,-132,3216,2304,768,-432,3168,-528,3216,1072,-603,4422,-737,768,-432,3168,-528,-144,1056,-176,-594,99,-176,4,1,4,47.1,121
"46",46,2,3,-1,0.0580000000000001,2,-0.0700000000000003,2,-2,367,295,276,198,0.105,-39,-163,0.039,-146,-204,-0.013,41,162,-4,-56,71,-3,-0.140000000000001,-10764,-40296,11316,44712,-1104,-15456,19596,-828,0.507,-6318,-1599,156,117,-8364,-33048,816,11424,-14484,612,6642,-164,-2296,2911,-123,-648,-9072,11502,-486,224,-284,12,-3976,168,12,11,1,4,-0.210000000000001,9
"47",47,5,-1,6,-0.138,12.05,9.77,-4,4,231,186,94,319,-0.029,43,111,0.00600000000000001,0,-20,0.0189999999999999,116,121,33,-18,-7,-5,117.7285,4042,0,10904,11374,3102,-1692,-658,-470,0.816999999999996,5203,4988,1419,-215,-2320,-2420,-660,360,140,100,14036,3828,-2088,-812,-580,3993,-2178,-847,-605,-594,-231,-165,126,90,-165,14,1,25,-9.77,25
"48",48,2,11,-9,0.308,23.39,17.1,5,-5,345,154,95,207,0,23,108,-0.033,132,138,0.052,80,31,-9,21,-30,-15,399.969,2185,12540,7600,2945,-855,1995,-2850,-1425,1.196,713,1840,-207,-345,11040,4278,-1242,2898,-4140,-2070,2480,-720,1680,-2400,-1200,-279,651,-930,-465,-189,270,135,-630,-315,135,23,1,4,188.1,225
"49",49,2,-5,7,-0.226,7.59,11.96,-7,7,481,620,203,280,0.04,-14,-24,-0.01,89,92,0.034,168,172,8,34,132,-5,90.7764,-2842,18067,34104,34916,1624,6902,26796,-1015,-0.476,-2408,-2352,-112,70,15456,15824,736,3128,12144,-460,28896,1344,5712,22176,-840,1376,5848,22704,-860,272,1056,-40,4488,-170,-40,-10,0,4,-59.8,25
"50",50,5,10,-5,0.2,29.21,16.34,-1,-1,844,442,348,526,0.052,-67,-136,-0.038,215,372,-0.0499999999999999,432,170,112,94,63,-15,477.2914,-23316,74820,150336,59160,38976,32712,21924,-5220,3.34999999999999,-11390,-28944,-7504,1005,160704,63240,41664,34968,23436,-5580,73440,48384,40608,27216,-6480,19040,15980,10710,-2550,10528,7056,-1680,5922,-1410,-1680,20,1,25,163.4,225
"51",51,3,1,2,-0.036,11.39,8.97,-2,-2,238,125,65,15,0.03,59,15,0.088,49,-53,0.0990000000000001,-3,165,-67,-1,-58,-9,102.1683,3835,3185,-195,10725,-4355,-65,-3770,-585,5.84100000000001,9735,-177,-3953,-531,159,-8745,3551,53,3074,477,-495,201,3,174,27,-11055,-165,-9570,-1485,67,3886,603,58,9,603,10,1,9,8.97,81
"52",52,0,0,0,0,9.09,3.89,-2,4,171,15,59,71,0.015,-19,-69,0.00999999999999995,72,56,0.0449999999999999,-25,131,3,-59,-92,-1,35.3601,-1121,4248,-1475,7729,177,-3481,-5428,-59,-0.854999999999998,-2489,475,-57,19,-1400,7336,168,-3304,-5152,-56,-3275,-75,1475,2300,25,393,-7729,-12052,-131,-177,-276,-3,5428,59,-3,-6,0,0,0,1
"53",53,4,8,-4,0.153,27.53,17.72,3,-1,453,166,167,353,0.000999999999999945,111,235,0.048,8,-12,0.0209999999999999,166,117,32,-10,28,-15,487.8316,18537,1336,27722,19539,5344,-1670,4676,-2505,2.33099999999999,12987,18426,3552,-1665,-1992,-1404,-384,120,-336,180,19422,5312,-1660,4648,-2490,3744,-1170,3276,-1755,-320,896,-480,-280,150,-480,31,1,16,141.76,225
"54",54,-1,5,-6,0.193,-1.29,-4.21,0,-4,-62,-162,-52,-137,0.00600000000000001,112,253,0.035,-70,-129,0.0289999999999999,-239,8,-27,-143,-167,-3,5.4309,-5824,3640,12428,-416,1404,7436,8684,156,3.24799999999999,896,-26768,-3024,-336,30831,-1032,3483,18447,21543,387,-1912,6453,34177,39913,717,-216,-1144,-1336,-24,3861,4509,81,23881,429,81,-8,0,1,-21.05,9
"55",55,-3,5,-8,0.222,16.31,4.72,2,-2,140,-212,74,-10,0.04,-58,-88,-0.056,50,14,0.0619999999999999,72,-24,73,31,-33,-9,76.9832,-4292,3700,5328,-1776,5402,2294,-2442,-666,-3.59599999999999,1392,-4176,-4234,522,1008,-336,1022,434,-462,-126,-1728,5256,2232,-2376,-648,-1752,-744,792,216,2263,-2409,-657,-1023,-279,-657,14,1,9,23.6,81
"56",56,1,-2,3,-0.091,14.06,14.51,0,2,-318,-271,-80,-52,-0.033,-46,-78,-0.036,-112,-186,0.00800000000000001,-100,-190,97,42,-102,-9,204.0106,3680,8960,8000,15200,-7760,-3360,8160,720,-0.368,8740,4600,-4462,414,18600,35340,-18042,-7812,18972,1674,19000,-9700,-4200,10200,900,-18430,-7980,19380,1710,4074,-9894,-873,-4284,-378,-873,22,1,1,-29.02,81
"57",57,3,6,-3,0.12,6.47,1.28,-2,-2,716,536,255,552,-0.001,55,171,-0.002,151,223,0.00900000000000001,176,123,166,-4,310,-5,8.2816,14025,38505,44880,31365,42330,-1020,79050,-1275,0.495000000000001,6765,9680,9130,-275,39248,27429,37018,-892,69130,-1115,21648,29216,-704,54560,-880,20418,-492,38130,-615,-664,51460,-830,-1240,20,-830,14,1,9,7.68,25
"58",58,-3,-2,-1,0.00800000000000001,5.34,4.23,-2,2,-176,-125,-13,-91,0.016,-144,-307,-0.061,-6,-19,0.01,-66,-76,-29,44,11,-7,22.5882,1872,78,858,988,377,-572,-143,91,-1.44,10944,9504,4176,1008,1254,1444,551,-836,-209,133,5016,1914,-2904,-726,462,2204,-3344,-836,532,-1276,-319,203,484,-308,203,-10,0,9,-8.46,49
"59",59,-4,-5,1,-0.0610000000000001,4.44,9.02,-2,2,100,273,13,110,-0.023,27,128,-0.04,47,153,-0.091,33,-54,9,36,-1,-7,40.0488,351,611,429,-702,117,468,-13,-91,-2.457,-1458,891,243,-189,5049,-8262,1377,5508,-153,-1071,-1782,297,1188,-33,-231,-486,-1944,54,378,324,-9,-63,-36,-252,-63,-4,0,16,-45.1,49
"60",60,0,-5,5,-0.161,0.0299999999999994,10.26,-6,4,-422,-54,-106,17,-0.063,-166,-353,-0.072,-44,8,-0.072,-23,-29,25,41,64,-3,0.307799999999994,17596,4664,2438,3074,-2650,-4346,-6784,318,11.952,4814,3818,-4150,498,-184,-232,200,328,512,-24,667,-575,-943,-1472,69,-725,-1189,-1856,87,1025,1600,-75,2624,-123,-75,3,1,0,-51.3,9
"61",61,5,-3,8,-0.221,9.33,13.6,-5,5,206,329,38,257,-0.049,48,130,-0.00800000000000001,82,29,0.091,175,-20,-72,77,28,-7,126.888,1824,3116,6650,-760,-2736,2926,1064,-266,4.368,-960,8400,-3456,-336,5075,-580,-2088,2233,812,-203,-3500,-12600,13475,4900,-1225,1440,-1540,-560,140,-5544,-2016,504,2156,-539,504,10,1,25,-40.8,49
"62",62,-3,-3,0,-0.031,-3.37,-2.2,-1,1,-303,-243,-98,-212,0.001,-13,19,-0.034,-94,-156,0.0199999999999999,-155,-108,-4,23,22,-1,7.414,1274,9212,15190,10584,392,-2254,-2156,98,-0.259999999999999,1404,2015,52,13,24180,16848,624,-3588,-3432,156,16740,620,-3565,-3410,155,432,-2484,-2376,108,-92,-88,4,506,-23,4,-3,0,9,6.6,1
"63",63,5,1,4,-0.0890000000000001,6.85,11.97,-4,6,111,226,49,196,-0.022,-40,13,-0.073,53,96,-0.015,310,-9,-43,110,177,-7,81.9945,-1960,2597,15190,-441,-2107,5390,8673,-343,0.6,360,-12400,1720,280,29760,-864,-4128,10560,16992,-672,-2790,-13330,34100,54870,-2170,387,-990,-1593,63,-4730,-7611,301,19470,-770,301,6,1,25,11.97,49
"64",64,1,0,1,-0.025,9.07,9.58,-3,3,512,523,199,309,0.03,69,89,0.064,45,86,-0.017,232,164,-29,7,142,-7,86.8906,13731,8955,46168,32636,-5771,1393,28258,-1393,-1.173,11316,16008,-2001,-483,19952,14104,-2494,602,12212,-602,38048,-6728,1624,32944,-1624,-4756,1148,23288,-1148,-203,-4118,203,994,-49,203,-9,0,1,0,49
"65",65,3,5,-2,0.094,11.45,6.51,1,-1,251,148,113,270,-0.00800000000000001,37,142,-0.022,-12,22,-0.035,101,114,78,80,72,-7,74.5395,4181,-1356,11413,12882,8814,9040,8136,-791,-1.295,4218,3737,2886,-259,2222,2508,1716,1760,1584,-154,11514,7878,8080,7272,-707,8892,9120,8208,-798,6240,5616,-546,5760,-560,-546,15,1,9,32.55,49
"66",66,10,10,0,0.0619999999999999,16.16,18.5,0,2,1006,987,436,757,0.045,138,209,0.079,-4,10,-0.012,270,335,201,54,236,-13,298.96,60168,-1744,117720,146060,87636,23544,102896,-5668,-1.656,46230,37260,27738,-1794,2700,3350,2010,540,2360,-130,90450,54270,14580,63720,-3510,67335,18090,79060,-4355,10854,47436,-2613,12744,-702,-2613,1,1,100,185,169
